surveyID	eventDurationValue	eventDurationUnit	dynamicProperties	targetTaxonomicScope	taxonCompletenessReported	taxonCompletenessProtocols	isTaxonomicScopeFullyReported	isAbsenceReported	hasNonTargetTaxa	isAbundanceReported	isLeastSpecificTargetCategoryQuantityInclusive	hasMaterialSamples	isSamplingEffortReported	samplingPerformedBy
162-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
162-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
163-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
163-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
164-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
164-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
165-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
165-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
166-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
166-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
167-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
167-2	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
168-1	1	day	{""""research_program"""": """"USAMLR""""}	Lobodon carcinophaga | Mirounga leonina | Leptonychotes weddellii | Hydrurga leptonyx		census	true	true	false	true	false	false	false	USAMLR
